miRNA_1	miRNA_2	target
MIR103A1	MIR103A2	PPP6R2
MIR103A1	MIR103A2	ARMC1
MIR103A1	MIR103A2	FXR1
MIR103A1	MIR103A2	ATXN7L1
MIR103A1	MIR103A2	DNAJB4
MIR103A1	MIR103A2	C5orf24
MIR103A1	MIR103A2	EPS8
MIR103A1	MIR103A2	AGFG1
MIR103A1	MIR103A2	SIX4
MIR103A1	MIR103A2	BACH2
MIR103A1	MIR103A2	ANK2
MIR103A1	MIR103A2	LONRF1
MIR103A1	MIR103A2	LGI2
MIR103A1	MIR103A2	MBNL1
MIR103A1	MIR103A2	SBNO1
MIR103A1	MIR103A2	XIAP
MIR103A1	MIR107	USF3
MIR103A1	MIR107	VAV3
MIR103A1	MIR107	BCLAF3
MIR103A1	MIR107	CPEB3
MIR103A1	MIR107	RSPO3
MIR103A1	MIR107	RYBP
MIR103A1	MIR107	PPP4R3B
MIR103A1	MIR107	TLE4
MIR103A1	MIR107	AGO1
MIR103A1	MIR107	MED26
MIR103A1	MIR107	CASK
MIR103A1	MIR107	DCBLD2
MIR103A1	MIR107	NEDD9
MIR103A1	MIR107	IARS1
MIR103A1	MIR107	PPP2R3C
MIR103A1	MIR107	ZNF711
MIR103A1	MIR107	AQP11
MIR103A1	MIR107	PAWR
MIR103A1	MIR107	WASHC4
MIR103A1	MIR107	PRKCE
MIR103A1	MIR107	MTMR4
MIR103A1	MIR107	RIMS3
MIR103A1	MIR107	CDK14
MIR103A1	MIR107	KIF23
MIR103A1	MIR107	EVA1A
MIR103A1	MIR107	FBXW7
MIR103A1	MIR107	RAB10
MIR103A1	MIR107	TMEM47
MIR103A1	MIR107	TNRC6B
MIR103A1	MIR107	DYRK2
MIR103A1	MIR107	ANKIB1
MIR103A1	MIR107	ANO3
MIR103A1	MIR107	SUN2
MIR103A1	MIR107	KDM7A
MIR103A1	MIR107	BTG2
MIR103A1	MIR107	AXIN2
MIR103A1	MIR107	KIF5A
MIR103A1	MIR107	CLCN5
MIR103A1	MIR107	NDEL1
MIR103A1	MIR107	PPP6C
MIR103A1	MIR107	TWF1
MIR103A1	MIR107	DLL1
MIR103A1	MIR107	TSPAN5
MIR103A1	MIR107	AGO4
MIR103A1	MIR107	USP42
MIR103A1	MIR107	SNCG
MIR103A1	MIR107	TNPO1
MIR103A1	MIR107	CHD6
MIR103A1	MIR107	FERMT2
MIR103A1	MIR107	SCN2A
MIR103A1	MIR107	VCAN
MIR103A1	MIR107	ZNRF2
MIR103A1	MIR107	GPATCH8
MIR103A1	MIR107	CDK6
MIR103A1	MIR107	PPIP5K2
MIR103A1	MIR107	TLK1
MIR103A1	MIR107	PURB
MIR103A1	MIR107	ZFPM2
MIR103A1	MIR107	GALNT7
MIR103A1	MIR107	MYH9
MIR103A1	MIR107	CSNK1A1
MIR103A1	MIR107	PDCD10
MIR103A1	MIR107	RAB11FIP2
MIR103A1	MIR107	MEF2D
MIR103A1	MIR107	NAA15
MIR103A1	MIR107	OTUD4
MIR103A1	MIR107	CDK8
MIR103A1	MIR107	RASSF5
MIR103A1	MIR107	GPC6
MIR103A1	MIR107	HERC2
MIR103A1	MIR107	SDCBP
MIR103A1	MIR107	NUDCD2
MIR103A1	MIR107	ZBTB10
MIR103A1	MIR107	AFF4
MIR103A1	MIR107	GIT2
MIR103A1	MIR107	C2CD5
MIR103A1	MIR107	FOXP1
