miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR373	MIR520E	not_in_G	not_in_G
MIR373	MIR520F	not_in_G	not_in_G
MIR373	MIR520G	not_in_G	not_in_G
MIR373	MIR524	not_in_G	not_in_G
MIR373	MIR526A1	not_in_G	not_in_G
MIR373	MIR526A2	not_in_G	not_in_G
MIR498	MIR512-1	not_in_G	not_in_G
MIR498	MIR512-2	not_in_G	not_in_G
MIR498	MIR515-1	not_in_G	not_in_G
MIR498	MIR515-2	not_in_G	not_in_G
MIR498	MIR516A1	not_in_G	not_in_G
MIR498	MIR516A2	not_in_G	not_in_G
MIR498	MIR516B1	not_in_G	not_in_G
MIR498	MIR516B2	not_in_G	not_in_G
MIR498	MIR517A	not_in_G	not_in_G
MIR498	MIR517B	not_in_G	not_in_G
MIR498	MIR517C	not_in_G	not_in_G
MIR498	MIR518A1	not_in_G	not_in_G
MIR498	MIR518A2	not_in_G	not_in_G
MIR498	MIR518B	not_in_G	not_in_G
MIR498	MIR518C	not_in_G	not_in_G
MIR498	MIR518D	not_in_G	not_in_G
MIR498	MIR518E	not_in_G	not_in_G
MIR498	MIR518F	not_in_G	not_in_G
MIR498	MIR519A1	not_in_G	not_in_G
MIR498	MIR519A2	not_in_G	not_in_G
MIR498	MIR519B	not_in_G	not_in_G
MIR498	MIR519C	not_in_G	not_in_G
MIR498	MIR519D	not_in_G	not_in_G
MIR498	MIR519E	not_in_G	not_in_G
MIR498	MIR520A	not_in_G	not_in_G
MIR498	MIR520B	not_in_G	not_in_G
MIR498	MIR520C	not_in_G	not_in_G
MIR498	MIR520D	not_in_G	not_in_G
MIR498	MIR520E	not_in_G	not_in_G
MIR498	MIR520F	not_in_G	not_in_G
MIR498	MIR520G	not_in_G	not_in_G
MIR498	MIR520H	not_in_G	not_in_G
MIR498	MIR521-1	not_in_G	not_in_G
MIR498	MIR521-2	not_in_G	not_in_G
MIR498	MIR522	not_in_G	not_in_G
MIR498	MIR523	not_in_G	not_in_G
MIR498	MIR524	not_in_G	not_in_G
MIR498	MIR525	not_in_G	not_in_G
MIR498	MIR526A1	not_in_G	not_in_G
MIR498	MIR526A2	not_in_G	not_in_G
MIR498	MIR526B	not_in_G	not_in_G
MIR498	MIR527	not_in_G	not_in_G
MIR512-1	MIR515-1	not_in_G	not_in_G
MIR512-1	MIR515-2	not_in_G	not_in_G
MIR512-1	MIR517A	not_in_G	not_in_G
MIR512-1	MIR517B	not_in_G	not_in_G
MIR512-1	MIR517C	not_in_G	not_in_G
MIR512-1	MIR519E	not_in_G	not_in_G
MIR512-1	MIR520B	not_in_G	not_in_G
MIR512-1	MIR520E	not_in_G	not_in_G
MIR512-1	MIR520F	not_in_G	not_in_G
MIR512-1	MIR520G	not_in_G	not_in_G
MIR512-1	MIR524	not_in_G	not_in_G
MIR512-1	MIR526A1	not_in_G	not_in_G
MIR512-1	MIR526A2	not_in_G	not_in_G
MIR512-2	MIR515-1	not_in_G	not_in_G
MIR512-2	MIR515-2	not_in_G	not_in_G
MIR512-2	MIR517A	not_in_G	not_in_G
MIR512-2	MIR517B	not_in_G	not_in_G
MIR512-2	MIR517C	not_in_G	not_in_G
MIR512-2	MIR519E	not_in_G	not_in_G
MIR512-2	MIR520B	not_in_G	not_in_G
MIR512-2	MIR520E	not_in_G	not_in_G
MIR512-2	MIR520F	not_in_G	not_in_G
MIR512-2	MIR520G	not_in_G	not_in_G
MIR512-2	MIR524	not_in_G	not_in_G
MIR512-2	MIR526A1	not_in_G	not_in_G
MIR512-2	MIR526A2	not_in_G	not_in_G
MIR515-1	MIR515-1	not_in_G	not_in_G
MIR515-1	MIR515-2	not_in_G	not_in_G
MIR515-1	MIR516A1	not_in_G	not_in_G
MIR515-1	MIR516A2	not_in_G	not_in_G
MIR515-1	MIR516B1	not_in_G	not_in_G
