miRNA_1	miRNA_2	target
MIR106A	MIR20B	AKT3
MIR106A	MIR20B	ZBTB7A
MIR106A	MIR20B	BEND4
MIR106A	MIR20B	TNRC6B
MIR106A	MIR20B	PKD2
MIR106A	MIR20B	ZBTB18
MIR106A	MIR20B	DHCR24
MIR106A	MIR20B	CCDC71L
MIR106A	MIR20B	HBP1
MIR106A	MIR20B	RASA2
MIR106A	MIR20B	ZBTB4
MIR106A	MIR20B	RRM2
MIR106A	MIR20B	NHLRC3
MIR106A	MIR20B	KPNA2
MIR106A	MIR20B	RASD1
MIR106A	MIR20B	RND3
MIR106A	MIR20B	ATP6V0E1
MIR106A	MIR20B	NAPB
MIR106A	MIR20B	REEP3
MIR106A	MIR20B	FRMD4A
MIR106A	MIR20B	CRK
MIR106A	MIR20B	BTN3A1
MIR106A	MIR20B	BTG3
MIR106A	MIR20B	RCAN1
MIR106A	MIR20B	SBNO1
MIR106A	MIR20B	MSI2
MIR106A	MIR20B	AAK1
MIR106A	MIR20B	KDM6B
MIR106A	MIR20B	LRCH1
MIR106A	MIR20B	ACSL4
MIR106A	MIR20B	WDR37
MIR106A	MIR20B	AAED1
MIR106A	MIR20B	RB1
MIR106A	MIR20B	FAM199X
MIR106A	MIR20B	ZNF592
MIR106A	MIR20B	ZNF217
MIR106A	MIR20B	NF1
MIR106A	MIR20B	BNIP2
MIR106A	MIR20B	SMU1
MIR106A	MIR20B	NABP1
MIR106A	MIR20B	TNFAIP3
MIR106A	MIR20B	HYOU1
MIR106A	MIR20B	IER3
MIR106A	MIR20B	ATL3
MIR106A	MIR20B	ERAP1
MIR106A	MIR20B	PPP6C
MIR106A	MIR20B	PUM2
MIR106A	MIR20B	CXCL8
MIR106A	MIR20B	IRF9
MIR106A	MIR20B	FLAD1
MIR106A	MIR20B	TBC1D2B
MIR106A	MIR20B	FAM129A
MIR106A	MIR20B	STK38
MIR106A	MIR20B	MSMO1
MIR106A	MIR20B	CROT
MIR106A	MIR20B	SEMA7A
MIR106A	MIR20B	LAPTM4A
MIR106A	MIR20B	CCDC137
MIR106A	MIR20B	TRIM8
MIR106A	MIR20B	SASH1
MIR106A	MIR20B	ATP9A
MIR106A	MIR20B	DUSP18
MIR106A	MIR20B	PKD1
MIR106A	MIR20B	DNAJC27
MIR106A	MIR20B	CELF2
MIR106A	MIR20B	TUBB4B
MIR106A	MIR20B	UNC119B
MIR106A	MIR20B	MAP3K2
MIR106A	MIR20B	MAST4
MIR106A	MIR20B	DNAJC13
MIR106A	MIR20B	MAGT1
MIR106A	MIR20B	RHOC
MIR106A	MIR20B	SOD2
MIR106A	MIR20B	RUNX3
MIR106A	MIR20B	ZDHHC20
MIR106A	MIR20B	CSRNP3
MIR106A	MIR20B	CLTC
MIR106A	MIR20B	TMEM127
MIR106A	MIR20B	TBC1D20
MIR106A	MIR20B	GBF1
MIR106A	MIR20B	MKI67
MIR106A	MIR20B	ZNF880
MIR106A	MIR20B	PCYT1A
MIR106A	MIR20B	DCAF10
MIR106A	MIR20B	SIPA1L1
MIR106A	MIR20B	ADAM9
MIR106A	MIR20B	ZNF827
MIR106A	MIR20B	USP34
MIR106A	MIR20B	ARL1
MIR106A	MIR20B	PFKP
MIR106A	MIR20B	SAMD9L
MIR106A	MIR20B	ARL4A
MIR106A	MIR20B	SLC30A1
MIR106A	MIR20B	MIDN
MIR106A	MIR20B	DYRK3
MIR106A	MIR20B	PALLD
MIR106A	MIR20B	MAPK9
MIR106A	MIR20B	ZMPSTE24
MIR106A	MIR20B	SGTB
