miRNA_1	miRNA_2	target
MIR105-1	MIR105-2	GPRIN3
MIR105-1	MIR105-2	LYN
MIR105-1	MIR105-2	MTX3
MIR105-1	MIR105-2	LTB4R
MIR105-1	MIR105-2	RAB22A
MIR105-1	MIR105-2	TTI2
MIR105-1	MIR105-2	DCAF12
MIR105-1	MIR105-2	NKAIN2
MIR105-1	MIR105-2	PNPLA8
MIR105-1	MIR105-2	HOXA13
MIR105-1	MIR105-2	SLC9A6
MIR105-1	MIR105-2	BCL2L11
MIR105-1	MIR105-2	SEL1L
MIR105-1	MIR105-2	EPHA4
MIR105-1	MIR105-2	TBL1XR1
MIR105-1	MIR105-2	ARL8B
MIR105-1	MIR105-2	TWF1
MIR105-1	MIR105-2	SERTAD2
MIR105-1	MIR105-2	ARHGAP29
MIR105-1	MIR105-2	AGO1
MIR105-1	MIR105-2	MRPL22
MIR105-1	MIR105-2	RAB3C
MIR105-1	MIR105-2	ARHGEF2
MIR105-1	MIR105-2	KLF12
MIR105-1	MIR105-2	TMX3
MIR105-1	MIR105-2	YIPF5
MIR105-1	MIR105-2	CEP128
MIR105-1	MIR105-2	PPARA
MIR105-1	MIR105-2	ZNRF2
MIR105-1	MIR105-2	FOXK1
MIR105-1	MIR105-2	ADAMTS5
MIR105-1	MIR105-2	CDH2
MIR105-1	MIR105-2	CREB1
MIR105-1	MIR105-2	DYNAP
MIR105-1	MIR105-2	USP15
MIR105-1	MIR105-2	NFAT5
MIR105-1	MIR105-2	SSH1
MIR105-1	MIR105-2	IL16
MIR105-1	MIR105-2	ST8SIA3
MIR105-1	MIR105-2	CELF1
MIR105-1	MIR105-2	WAC
MIR105-1	MIR105-2	RGP1
MIR105-1	MIR105-2	HYDIN
MIR105-1	MIR105-2	IL17RA
MIR105-1	MIR105-2	ATP8A1
MIR105-1	MIR105-2	SOCS5
MIR105-1	MIR105-2	LDLRAD3
MIR105-1	MIR105-2	TCF7L2
MIR105-1	MIR105-2	GABBR2
MIR105-1	MIR105-2	CDKN1B
MIR105-1	MIR105-2	CRLF3
MIR105-1	MIR105-2	TM9SF3
MIR105-1	MIR105-2	ARHGEF7
MIR105-1	MIR105-2	DPP6
MIR105-1	MIR105-2	AHNAK2
MIR105-1	MIR105-2	RAP2C
MIR105-1	MIR105-2	USP37
MIR105-1	MIR105-2	R3HDM1
MIR105-1	MIR105-2	ITGA6
MIR105-1	MIR105-2	NCOA1
MIR105-1	MIR105-2	SHOC2
MIR105-1	MIR105-2	UBE2K
MIR105-1	MIR105-2	RANBP9
MIR105-1	MIR105-2	TJP1
MIR105-1	MIR105-2	SRGAP1
MIR105-1	MIR105-2	HPS1
MIR105-1	MIR105-2	FLRT2
MIR105-1	MIR105-2	SLC66A3
MIR105-1	MIR105-2	ACSL3
MIR105-1	MIR105-2	DUSP13
MIR105-1	MIR105-2	TRIOBP
MIR105-1	MIR105-2	MRPL34
MIR105-1	MIR105-2	IGF1
MIR105-1	MIR105-2	MTPN
MIR105-1	MIR105-2	BRWD1
MIR105-1	MIR105-2	FAM76B
MIR105-1	MIR105-2	UHMK1
MIR105-1	MIR105-2	RAB3B
MIR105-1	MIR105-2	TTC30A
MIR105-1	MIR105-2	GLCCI1
MIR105-1	MIR105-2	ABHD2
MIR105-1	MIR105-2	PPP1CB
MIR105-1	MIR105-2	QSER1
MIR105-1	MIR105-2	PRKAB2
MIR105-1	MIR105-2	SIK2
MIR105-1	MIR105-2	NUP50
MIR105-1	MIR105-2	HEBP2
MIR105-1	MIR105-2	RHOBTB1
MIR105-1	MIR105-2	PDZD7
MIR105-1	MIR105-2	GPAM
MIR105-1	MIR105-2	KLHL7
MIR105-1	MIR105-2	TSPYL6
MIR105-1	MIR105-2	AFF4
MIR105-1	MIR105-2	TES
MIR105-1	MIR105-2	TRERF1
MIR105-1	MIR105-2	GSG1
MIR105-1	MIR105-2	TEAD1
MIR105-1	MIR105-2	NEDD4L
MIR105-1	MIR105-2	GLRX
MIR105-1	MIR105-2	GLB1L2
MIR105-1	MIR105-2	MED24
MIR105-1	MIR105-2	IFNAR2
MIR105-1	MIR105-2	MAP6D1
MIR105-1	MIR105-2	CDK12
MIR105-1	MIR105-2	GRPEL2
MIR105-1	MIR105-2	MRM1
MIR105-1	MIR105-2	RAPGEF2
MIR105-1	MIR105-2	PRPF40A
MIR105-1	MIR105-2	GOLT1B
MIR105-1	MIR105-2	GLCE
MIR105-1	MIR105-2	WAPL
MIR105-1	MIR105-2	LMO7
MIR105-1	MIR105-2	CDK6
MIR105-1	MIR105-2	NUDT4
MIR105-1	MIR105-2	GABARAPL2
MIR105-1	MIR105-2	LIN7A
MIR105-1	MIR105-2	ZNF24
MIR105-1	MIR105-2	DCUN1D4
MIR105-1	MIR105-2	F13A1
MIR105-1	MIR105-2	GJD3
MIR105-1	MIR105-2	APOLD1
MIR105-1	MIR105-2	UBE2E1
MIR105-1	MIR105-2	ZFR
MIR105-1	MIR105-2	RGS12
MIR105-1	MIR105-2	YTHDF3
MIR105-1	MIR105-2	ITSN1
MIR105-1	MIR105-2	FAM204A
MIR105-1	MIR105-2	PMF1
MIR105-1	MIR105-2	GRB2
MIR105-1	MIR105-2	PLXNB3
MIR105-1	MIR105-2	CAB39
MIR105-1	MIR105-2	SP4
MIR105-1	MIR105-2	VHL
MIR105-1	MIR105-2	COL4A1
MIR105-1	MIR105-2	RNF170
MIR105-1	MIR105-2	TAF2
MIR105-1	MIR105-2	FOXN3
MIR105-1	MIR105-2	ACVR2A
MIR105-1	MIR105-2	GPCPD1
MIR105-1	MIR105-2	MXI1
MIR105-1	MIR105-2	REST
MIR105-1	MIR105-2	EIF4G2
MIR105-1	MIR105-2	ZNF652
MIR105-1	MIR105-2	RPRM
MIR105-1	MIR105-2	HNRNPK
MIR105-1	MIR105-2	PRDM8
MIR105-1	MIR105-2	PRICKLE2
MIR105-1	MIR105-2	FRS2
MIR105-1	MIR105-2	APBB2
MIR105-1	MIR105-2	ABCG8
MIR105-1	MIR105-2	PAN3
MIR105-1	MIR105-2	NAA50
MIR106A	MIR18A	EPHA7
MIR106A	MIR18A	ZNF704
MIR106A	MIR18A	ADD3
MIR106A	MIR18A	ZNF512B
MIR106A	MIR18A	TET3
MIR106A	MIR18A	ZBTB4
MIR106A	MIR18A	DCUN1D3
MIR106A	MIR18A	CRIM1
MIR106A	MIR18A	BTG3
MIR106A	MIR18A	DDHD1
MIR106A	MIR18A	CDK19
MIR106A	MIR18A	F3
MIR106A	MIR18A	NTN4
MIR106A	MIR18A	ANKRD52
MIR106A	MIR18A	RAD23B
MIR106A	MIR18A	TWF1
