miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR9-1	MIR9-2	ZFHX4	ZFHX3
MIR9-1	MIR9-2	CNOT6L	CNOT6
MIR9-1	MIR9-2	ONECUT2	ONECUT1
MIR9-1	MIR9-2	TENT5C	TENT5D
MIR9-1	MIR9-2	POU3F2	POU2F3
MIR9-1	MIR9-2	DYRK1A	DYRK1B
MIR9-1	MIR9-2	FOXP2	FOXP1
MIR9-1	MIR9-2	FOXP2	FOXP4
MIR9-1	MIR9-2	STK3	STK4
MIR9-1	MIR9-2	TNKS	TNKS2
MIR9-1	MIR9-2	FOXP4	FOXP1
MIR9-1	MIR9-2	LIN28B	LIN28A
MIR9-1	MIR9-2	PCDHA4	PCDH19
MIR9-1	MIR9-2	FBN1	FBN2
MIR9-1	MIR9-3	TPD52L2	TPD52
MIR9-1	MIR9-3	POU2F1	POU2F3
MIR9-1	MIR9-3	SEC23IP	DDHD2
MIR9-1	MIR9-3	CPEB2	CPEB3
MIR9-1	MIR9-3	CPEB2	CPEB4
MIR9-1	MIR9-3	CPEB4	CPEB3
MIR9-1	MIR9-3	ZFHX4	ZFHX3
MIR9-1	MIR9-3	CNOT6L	CNOT6
MIR9-1	MIR9-3	ONECUT2	ONECUT1
MIR9-1	MIR9-3	TENT5C	TENT5D
MIR9-1	MIR9-3	POU3F2	POU2F3
MIR9-1	MIR9-3	DYRK1A	DYRK1B
MIR9-1	MIR9-3	FOXP2	FOXP1
MIR9-1	MIR9-3	FOXP2	FOXP4
MIR9-1	MIR9-3	STK3	STK4
