miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR302A	MIR512-1	RHOC	RHOT1
MIR302A	MIR512-2	RHOC	RHOT1
MIR302A	MIR518A1	TARDBP	RBMS3
MIR302A	MIR518A2	TARDBP	RBMS3
MIR302A	MIR519B	USP15	USP48
MIR302A	MIR519C	USP15	USP48
MIR302A	MIR519E	UBE2B	UBE2V2
MIR302A	MIR520A	E2F7	E2F5
MIR302A	MIR520A	ZBTB5	ZNF367
MIR302A	MIR520A	GLIS3	AEBP2
MIR302A	MIR520A	LEFTY1	GDF11
MIR302A	MIR520A	LEFTY1	LEFTY2
MIR302A	MIR520A	RAB22A	RAB11A
MIR302A	MIR520A	GDF11	LEFTY2
MIR302A	MIR520A	ZBTB41	PRDM4
MIR302A	MIR520B	E2F7	E2F5
MIR302A	MIR520B	ZBTB5	ZNF367
MIR302A	MIR520B	UBE2B	UBE2W
MIR302A	MIR520B	GLIS3	AEBP2
MIR302A	MIR520B	LEFTY1	GDF11
MIR302A	MIR520B	LEFTY1	LEFTY2
MIR302A	MIR520B	ZNF678	ZNF2
MIR302A	MIR520B	MTF1	ZNF148
MIR302A	MIR520B	RAB22A	RAB11A
MIR302A	MIR520B	GDF11	LEFTY2
MIR302A	MIR520B	ZBTB41	PRDM4
MIR302A	MIR520C	E2F7	E2F5
MIR302A	MIR520C	ZBTB5	ZNF367
MIR302A	MIR520C	UBE2B	UBE2W
MIR302A	MIR520C	GLIS3	AEBP2
MIR302A	MIR520C	LEFTY1	GDF11
MIR302A	MIR520C	LEFTY1	LEFTY2
MIR302A	MIR520C	MTF1	ZNF148
MIR302A	MIR520C	RAB22A	RAB11A
MIR302A	MIR520C	GDF11	LEFTY2
MIR302A	MIR520C	ZBTB41	PRDM4
MIR302A	MIR520D	ELAVL2	TARDBP
MIR302A	MIR520D	E2F7	E2F5
MIR302A	MIR520D	ZBTB5	ZNF367
MIR302A	MIR520D	UBE2B	UBE2W
MIR302A	MIR520D	GLIS3	AEBP2
