miRNA_1	miRNA_2	target
MIR103A1	MIR103A2	MEPCE
MIR103A1	MIR103A2	AP1S1
MIR103A1	MIR103A2	FOXK1
MIR103A1	MIR103A2	EIF2AK4
MIR103A1	MIR103A2	C21orf33
MIR103A1	MIR103A2	MOV10
MIR103A1	MIR103A2	ARHGEF1
MIR103A1	MIR103A2	VRK3
MIR103A1	MIR103A2	MTHFD2
MIR103A1	MIR103A2	CRTAP
MIR103A1	MIR103A2	MYO1C
MIR103A1	MIR103A2	FZD6
MIR103A1	MIR103A2	CCNT1
MIR103A1	MIR103A2	PPP1R18
MIR103A1	MIR103A2	PLXNB2
MIR103A1	MIR103A2	ZCCHC2
MIR103A1	MIR103A2	RECK
MIR103A1	MIR103A2	BMPR2
MIR103A1	MIR103A2	PICALM
MIR103A1	MIR103A2	CDK12
MIR103A1	MIR103A2	SGMS2
MIR103A1	MIR103A2	SF1
MIR103A1	MIR103A2	TUBGCP4
MIR103A1	MIR103A2	TXLNA
MIR103A1	MIR103A2	NR2F6
MIR103A1	MIR103A2	C6orf120
MIR103A1	MIR103A2	LDOC1
MIR103A1	MIR103A2	TLE3
MIR103A1	MIR103A2	RAB3B
MIR103A1	MIR103A2	FAM179A
MIR103A1	MIR103A2	FANCA
MIR103A1	MIR103A2	AHNAK
MIR103A1	MIR103A2	RPN1
MIR103A1	MIR103A2	CEP164
MIR103A1	MIR103A2	FAM219A
MIR103A1	MIR103A2	ARL10
MIR103A1	MIR103A2	TGFB1
MIR103A1	MIR103A2	METAP2
MIR103A1	MIR103A2	PI4KB
MIR103A1	MIR103A2	HIST1H2BF
MIR103A1	MIR103A2	ACSL4
MIR103A1	MIR103A2	SUN2
MIR103A1	MIR103A2	HIPK1
MIR103A1	MIR103A2	EMP1
MIR103A1	MIR103A2	GCC2
MIR103A1	MIR103A2	SHISA5
MIR103A1	MIR103A2	TRIM8
MIR103A1	MIR103A2	GARS
MIR103A1	MIR103A2	PTPRB
MIR103A1	MIR103A2	SCAP
MIR103A1	MIR103A2	RAB1A
MIR103A1	MIR103A2	PLEKHF2
MIR103A1	MIR103A2	TNPO3
MIR103A1	MIR103A2	RPL5
MIR103A1	MIR103A2	XXbac-BPG32J3.20
MIR103A1	MIR103A2	NQO1
MIR103A1	MIR103A2	GIT1
MIR103A1	MIR103A2	FASN
MIR103A1	MIR103A2	ZDHHC16
MIR103A1	MIR103A2	ANKRD52
MIR103A1	MIR103A2	CELSR1
MIR103A1	MIR103A2	CLSTN1
MIR103A1	MIR103A2	RNF19B
MIR103A1	MIR103A2	HIST1H4F
MIR103A1	MIR103A2	ST6GALNAC4
MIR103A1	MIR103A2	S1PR1
MIR103A1	MIR103A2	RPS3
MIR103A1	MIR103A2	UTP18
MIR103A1	MIR103A2	MKKS
MIR103A1	MIR103A2	TAF6
MIR103A1	MIR103A2	ETS2
MIR103A1	MIR103A2	MFSD5
MIR103A1	MIR103A2	IMP3
MIR103A1	MIR103A2	CNKSR3
MIR103A1	MIR103A2	SAE1
MIR103A1	MIR103A2	APLN
MIR103A1	MIR103A2	NUAK1
MIR103A1	MIR103A2	IST1
MIR103A1	MIR103A2	ESYT2
MIR103A1	MIR103A2	C16orf72
MIR103A1	MIR103A2	STAT2
MIR103A1	MIR103A2	COPG2
MIR103A1	MIR103A2	FAM49B
MIR103A1	MIR103A2	YTHDF2
MIR103A1	MIR103A2	POLD1
MIR103A1	MIR103A2	CDCA7L
MIR103A1	MIR103A2	USP14
MIR103A1	MIR103A2	KDM2A
MIR103A1	MIR103A2	FRYL
MIR103A1	MIR103A2	GIGYF1
MIR103A1	MIR103A2	PIP4K2B
MIR103A1	MIR103A2	MBNL1
MIR103A1	MIR103A2	TMEM101
MIR103A1	MIR103A2	ATP13A2
MIR103A1	MIR103A2	FERMT2
MIR103A1	MIR103A2	SEC14L1
MIR103A1	MIR103A2	REG3G
MIR103A1	MIR103A2	COPA
MIR103A1	MIR103A2	STARD8
MIR103A1	MIR103A2	DENND4B
MIR103A1	MIR103A2	ASH1L
MIR103A1	MIR103A2	MAPKAPK3
MIR103A1	MIR103A2	FAM69B
MIR103A1	MIR103A2	FGFRL1
MIR103A1	MIR103A2	PGAM5
MIR103A1	MIR103A2	STAM
MIR103A1	MIR103A2	TMEM109
MIR103A1	MIR103A2	MAP4
MIR103A1	MIR103A2	PLA2G15
MIR103A1	MIR103A2	SLC9A1
MIR103A1	MIR103A2	MAP3K11
MIR103A1	MIR103A2	PTPN18
MIR103A1	MIR103A2	UROD
MIR103A1	MIR103A2	KTN1
MIR103A1	MIR103A2	ZNF710
MIR103A1	MIR103A2	DDIT4
MIR103A1	MIR103A2	ANKRD17
MIR103A1	MIR103A2	KMT2D
MIR103A1	MIR103A2	H2AFV
MIR103A1	MIR103A2	HIST1H2BC
MIR103A1	MIR103A2	SH2D3C
MIR103A1	MIR103A2	MMRN1
MIR103A1	MIR103A2	RNF19A
MIR103A1	MIR103A2	SEC24C
MIR103A1	MIR103A2	ENSG00000255103
MIR103A1	MIR103A2	SAMD4A
MIR103A1	MIR103A2	IER5L
MIR103A1	MIR103A2	KIFC3
MIR103A1	MIR103A2	SRSF3
MIR103A1	MIR103A2	ATL2
MIR103A1	MIR103A2	MAPK14
MIR103A1	MIR103A2	HYAL2
MIR103A1	MIR103A2	MAPRE1
MIR103A1	MIR103A2	ORAI1
MIR103A1	MIR103A2	PDIA6
MIR103A1	MIR103A2	RNF123
MIR103A1	MIR103A2	TMEM39B
MIR103A1	MIR103A2	CD2AP
MIR103A1	MIR103A2	HERC1
MIR103A1	MIR103A2	NSUN4
MIR103A1	MIR103A2	QKI
MIR103A1	MIR103A2	EIF4G2
MIR103A1	MIR103A2	OTUD4
MIR103A1	MIR103A2	MYOF
MIR103A1	MIR103A2	TP53I11
MIR103A1	MIR103A2	RNF31
MIR103A1	MIR103A2	PPP2R5D
MIR103A1	MIR103A2	FBXO10
MIR103A1	MIR103A2	SF3B3
MIR103A1	MIR103A2	GLE1
MIR103A1	MIR103A2	IGF1R
MIR103A1	MIR103A2	AGO2
MIR103A1	MIR103A2	MIB1
MIR103A1	MIR103A2	PRPF40A
MIR103A1	MIR103A2	RBM14
MIR103A1	MIR103A2	GSN
MIR103A1	MIR103A2	DOCK6
MIR103A1	MIR103A2	FSCN1
MIR103A1	MIR103A2	DHX33
MIR103A1	MIR103A2	SPATA13
MIR103A1	MIR103A2	FBXO5
MIR103A1	MIR103A2	CREBBP
MIR103A1	MIR103A2	OGFOD1
MIR103A1	MIR103A2	KHSRP
MIR103A1	MIR103A2	SMG1
MIR103A1	MIR103A2	C2CD5
MIR103A1	MIR103A2	CYFIP1
MIR103A1	MIR103A2	FADD
MIR103A1	MIR103A2	TOR4A
MIR103A1	MIR103A2	RAB7A
MIR103A1	MIR103A2	KIF5B
MIR103A1	MIR103A2	CHMP3
MIR103A1	MIR103A2	RAI1
MIR103A1	MIR103A2	AP3D1
MIR103A1	MIR103A2	NID1
MIR103A1	MIR103A2	POM121C
MIR103A1	MIR103A2	GLTP
MIR103A1	MIR103A2	PPM1F
MIR103A1	MIR103A2	TNIP2
MIR103A1	MIR103A2	MIDN
MIR103A1	MIR103A2	MLLT4
MIR103A1	MIR103A2	SRSF2
MIR103A1	MIR103A2	CLDN5
MIR103A1	MIR103A2	NDUFS2
MIR103A1	MIR103A2	SRRM2
MIR103A1	MIR103A2	TGIF2
MIR103A1	MIR103A2	PGD
MIR103A1	MIR103A2	SNX8
MIR103A1	MIR103A2	TRAPPC1
MIR103A1	MIR103A2	C19orf68
MIR103A1	MIR103A2	CDC37
MIR103A1	MIR103A2	CHP1
MIR103A1	MIR103A2	MYO1D
MIR103A1	MIR103A2	BACE2
MIR103A1	MIR103A2	POMT2
MIR103A1	MIR103A2	TBCC
MIR103A1	MIR103A2	GLCE
MIR103A1	MIR103A2	TMEM123
MIR103A1	MIR103A2	RPL4
MIR103A1	MIR103A2	BUB1
MIR103A1	MIR103A2	SNX5
MIR103A1	MIR103A2	TNFRSF1B
MIR103A1	MIR103A2	ZFP36L1
MIR103A1	MIR103A2	C11orf58
MIR103A1	MIR103A2	GAS2L3
MIR103A1	MIR103A2	HSPA5
MIR103A1	MIR103A2	SLC18A2
MIR103A1	MIR103A2	CNOT6
MIR103A1	MIR103A2	CD80
MIR103A1	MIR103A2	ILF3
MIR103A1	MIR103A2	HERC3
MIR103A1	MIR103A2	GNA11
MIR103A1	MIR103A2	ANKS1A
MIR103A1	MIR103A2	NPTX2
MIR103A1	MIR103A2	XPO7
MIR103A1	MIR103A2	SEC24D
MIR103A1	MIR103A2	KDM6A
MIR103A1	MIR103A2	REXO2
MIR103A1	MIR103A2	EFEMP2
MIR103A1	MIR103A2	PVRL3
MIR103A1	MIR103A2	ABCB1
MIR103A1	MIR103A2	SORL1
MIR103A1	MIR103A2	IDH1
MIR103A1	MIR103A2	PURA
