miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
not_found	MIR513A2	not_in_G	not_in_G
not_found	MIR513B	not_in_G	not_in_G
not_found	MIR513C	not_in_G	not_in_G
not_found	MIR514A1	not_in_G	not_in_G
not_found	MIR514A2	not_in_G	not_in_G
not_found	MIR514A3	not_in_G	not_in_G
not_found	MIR514B	not_in_G	not_in_G
not_found	MIR888	not_in_G	not_in_G
not_found	MIR890	not_in_G	not_in_G
not_found	MIR892A	not_in_G	not_in_G
not_found	MIR892B	not_in_G	not_in_G
not_found	MIR892C	not_in_G	not_in_G
MIR362	MIR500B	USP33	USP15
MIR500A	MIR502	GAN	KBTBD8
MIR374A	MIR374B	KAT6A	RSF1
MIR421	MIR545	CUL4B	CUL3
MIR450A1	MIR450A2	HNRNPD	HNRNPA3
MIR509-1	MIR509-1	RAB11A	RAB5C
MIR509-1	MIR509-1	RAB11A	RAB5B
MIR509-1	MIR509-1	PCDHAC1	PCDHA10
MIR509-1	MIR509-1	PCDHA3	PCDHA6
MIR509-1	MIR509-1	PCDHA3	PCDHA1
MIR509-1	MIR509-1	PCDHA3	PCDHA11
MIR509-1	MIR509-1	PCDHA3	PCDHA10
MIR509-1	MIR509-1	PCDHA10	PCDHA6
MIR509-1	MIR509-1	PCDHA10	PCDHA4
MIR509-1	MIR509-1	PCDHA10	PCDHA2
MIR509-1	MIR509-1	PCDHA10	PCDHA13
MIR509-1	MIR509-1	PCDHA10	PCDHA11
MIR509-1	MIR509-1	PCDHA10	PCDHA12
MIR509-1	MIR509-1	RAB8B	RAB5C
MIR509-1	MIR509-1	PCDHA12	PCDHA4
MIR509-1	MIR509-1	ELAVL1	TARDBP
MIR509-1	MIR509-1	PCDHA4	PCDHA1
MIR509-1	MIR509-1	SYNCRIP	TARDBP
MIR509-1	MIR509-2	RAB11A	RAB5C
MIR509-1	MIR509-2	RAB11A	RAB5B
MIR509-1	MIR509-2	PCDHAC1	PCDHA10
MIR509-1	MIR509-2	PCDHA3	PCDHA6
MIR509-1	MIR509-2	PCDHA3	PCDHA1
MIR509-1	MIR509-2	PCDHA3	PCDHA11
MIR509-1	MIR509-2	PCDHA3	PCDHA10
MIR509-1	MIR509-2	PCDHA10	PCDHA6
MIR509-1	MIR509-2	PCDHA10	PCDHA4
MIR509-1	MIR509-2	PCDHA10	PCDHA2
MIR509-1	MIR509-2	PCDHA10	PCDHA13
MIR509-1	MIR509-2	PCDHA10	PCDHA11
MIR509-1	MIR509-2	PCDHA10	PCDHA12
MIR509-1	MIR509-2	RAB8B	RAB5C
